#This file contains all possible configurations. The only supported configurations are the public configurations.
#Section Name,Setting Name,Type,Default Value,Upgrade Policy,Setting Type,Config Found In,Description
LocalLogStore,LocalLogDeletionEnabled,bool,false,Dynamic,DEPRECATED,src\Managed\DCA\Settings.cs,"Deprecated. Please use the new producer-consumer model instead."
LocalLogStore,LogDeletionAgeInDays,int,7,Dynamic,DEPRECATED,src\Managed\DCA\Settings.cs,"Deprecated. Please use the new producer-consumer model instead."
DiagnosticFileStore,IsEnabled,bool,false,Dynamic,DEPRECATED,src\Managed\DCA\Settings.cs,"Deprecated. Please use the new producer-consumer model instead."
DiagnosticFileStore,StoreConnectionString,string,,Dynamic,DEPRECATED,src\Managed\DCA\Settings.cs,"Deprecated. Please use the new producer-consumer model instead."
DiagnosticFileStore,UploadIntervalInMinutes,int,5,Dynamic,DEPRECATED,src\Managed\DCA\Settings.cs,"Deprecated. Please use the new producer-consumer model instead."
DiagnosticFileStore,LogContainerName,string,,Dynamic,DEPRECATED,src\Managed\DCA\Settings.cs,"Deprecated. Please use the new producer-consumer model instead."
DiagnosticFileStore,CrashDumpContainerName,string,,Dynamic,DEPRECATED,src\Managed\DCA\Settings.cs,"Deprecated. Please use the new producer-consumer model instead."
DiagnosticFileStore,LogDeletionAgeInDays,int,7,Dynamic,DEPRECATED,src\Managed\DCA\Settings.cs,"Deprecated. Please use the new producer-consumer model instead."
DiagnosticFileStore,LogFilter,string,,Dynamic,DEPRECATED,src\Managed\DCA\Settings.cs,"Deprecated. Please use the new producer-consumer model instead."
DiagnosticFileStore,IsAppLogCollectionEnabled,bool,false,Dynamic,DEPRECATED,No Source File (deployer only) ,"Deprecated. Please use application manifest to specify application diagnostics settings."
DiagnosticFileStore,AppLogDirectoryQuotaInMB,int,1024,Dynamic,DEPRECATED,No Source File (converted to Management.MonitoringAgentDirectoryQuota in ManagementConfig.h) ,"Deprecated. Please use application manifest to specify application diagnostics settings."
DiagnosticFileStore,TestOnlyLogDeletionAgeInMinutes,int,0,Dynamic,DEPRECATED,src\Managed\DCA\Settings.cs,"Deprecated. Please use the new producer-consumer model instead."
DiagnosticTableStore,IsEnabled,bool,false,Dynamic,DEPRECATED,src\Managed\DCA\Settings.cs,"Deprecated. Please use the new producer-consumer model instead."
DiagnosticTableStore,StoreConnectionString,string,,Dynamic,DEPRECATED,src\Managed\DCA\Settings.cs,"Deprecated. Please use the new producer-consumer model instead."
DiagnosticTableStore,UploadIntervalInMinutes,int,5,Dynamic,DEPRECATED,src\Managed\DCA\Settings.cs,"Deprecated. Please use the new producer-consumer model instead."
DiagnosticTableStore,TableName,string,,Dynamic,DEPRECATED,src\Managed\DCA\Settings.cs,"Deprecated. Please use the new producer-consumer model instead."
DiagnosticTableStore,LogDeletionAgeInDays,int,7,Dynamic,DEPRECATED,src\Managed\DCA\Settings.cs,"Deprecated. Please use the new producer-consumer model instead."
DiagnosticTableStore,LogFilter,string,,Dynamic,DEPRECATED,src\Managed\DCA\Settings.cs,"Deprecated. Please use the new producer-consumer model instead."
DiagnosticTableStore,TestOnlyLogDeletionAgeInMinutes,int,0,Dynamic,DEPRECATED,src\Managed\DCA\Settings.cs,"Deprecated. Please use the new producer-consumer model instead."
DiagnosticTableStore,UploadConcurrencyCount,int,4,Dynamic,DEPRECATED,src\Managed\DCA\Settings.cs,"Deprecated. Please use the new producer-consumer model instead."
Diagnostics,ConsumerInstances,string,,Dynamic,PUBLIC,src\Managed\DCA\Settings.cs,"The list of DCA consumer instances"
Diagnostics,ProducerInstances,string,,Dynamic,PUBLIC,src\Managed\DCA\Settings.cs,"The list of DCA producer instances"
Diagnostics,ConfigurationChangeReactionTimeInSeconds,int,5,Dynamic,INTERNAL,src\Managed\DCA\Settings.cs,"Time to wait before reacting to configuration change"
Diagnostics,AppInstanceDataEtlFlushIntervalInSeconds,int,60,Dynamic,INTERNAL,src\Managed\DCA\Settings.cs,"Interval at which to flush ETL file ETW session for application instance related events"
